rpm,V_mph,J,Ct,Cp,power_W,torque_Nm,thrust_N
1000.0,0.0,0.0,0.0889,0.0376,0.822,0.008,0.354
1000.0,0.27,0.0219,0.0875,0.0379,0.827,0.008,0.349
1000.0,0.54,0.0438,0.0859,0.0381,0.832,0.008,0.342
1000.0,0.81,0.0657,0.0842,0.0382,0.835,0.008,0.336
1000.0,1.07,0.0876,0.0824,0.0384,0.838,0.008,0.329
1000.0,1.34,0.1096,0.0805,0.0384,0.84,0.008,0.321
1000.0,1.61,0.1315,0.0785,0.0385,0.841,0.008,0.313
1000.0,1.88,0.1534,0.0764,0.0384,0.84,0.008,0.304
1000.0,2.15,0.1753,0.0741,0.0383,0.838,0.008,0.295
1000.0,2.42,0.1972,0.0716,0.0382,0.834,0.008,0.286
1000.0,2.69,0.2191,0.0691,0.0379,0.829,0.008,0.275
1000.0,2.96,0.241,0.0664,0.0376,0.822,0.008,0.265
1000.0,3.22,0.2629,0.0635,0.0372,0.813,0.008,0.253
1000.0,3.49,0.2849,0.0606,0.0367,0.802,0.008,0.241
1000.0,3.76,0.3068,0.0574,0.0361,0.788,0.008,0.229
1000.0,4.03,0.3287,0.0542,0.0354,0.773,0.007,0.216
1000.0,4.3,0.3506,0.0508,0.0346,0.756,0.007,0.202
1000.0,4.57,0.3725,0.0472,0.0337,0.736,0.007,0.188
1000.0,4.84,0.3944,0.0436,0.0327,0.714,0.007,0.174
1000.0,5.11,0.4163,0.0399,0.0316,0.691,0.007,0.159
1000.0,5.37,0.4382,0.0361,0.0305,0.666,0.006,0.144
1000.0,5.64,0.4601,0.0322,0.0292,0.639,0.006,0.128
1000.0,5.91,0.4821,0.0282,0.0279,0.61,0.006,0.113
1000.0,6.18,0.504,0.0243,0.0265,0.58,0.006,0.097
1000.0,6.45,0.5259,0.0202,0.0251,0.548,0.005,0.081
1000.0,6.72,0.5478,0.0162,0.0235,0.514,0.005,0.064
1000.0,6.99,0.5697,0.0121,0.022,0.48,0.005,0.048
1000.0,7.25,0.5916,0.0081,0.0203,0.444,0.004,0.032
1000.0,7.52,0.6135,0.0041,0.0186,0.407,0.004,0.016
1000.0,7.79,0.6354,0.0001,0.0169,0.37,0.004,0.001
2000.0,0.0,0.0,0.0892,0.034,5.937,0.028,1.423
2000.0,0.54,0.0221,0.0878,0.0342,5.986,0.029,1.4
2000.0,1.08,0.0441,0.0862,0.0345,6.03,0.029,1.375
2000.0,1.62,0.0662,0.0845,0.0347,6.068,0.029,1.348
2000.0,2.16,0.0883,0.0827,0.0349,6.099,0.029,1.319
2000.0,2.71,0.1103,0.0808,0.035,6.121,0.029,1.289
2000.0,3.25,0.1324,0.0788,0.0351,6.134,0.029,1.256
2000.0,3.79,0.1545,0.0766,0.0351,6.135,0.029,1.221
2000.0,4.33,0.1765,0.0743,0.035,6.125,0.029,1.185
2000.0,4.87,0.1986,0.0718,0.0349,6.101,0.029,1.146
2000.0,5.41,0.2207,0.0693,0.0347,6.063,0.029,1.104
2000.0,5.95,0.2427,0.0665,0.0344,6.009,0.029,1.061
2000.0,6.49,0.2648,0.0637,0.034,5.939,0.028,1.015
2000.0,7.04,0.2869,0.0606,0.0335,5.851,0.028,0.967
2000.0,7.58,0.3089,0.0575,0.0329,5.745,0.027,0.917
2000.0,8.12,0.331,0.0542,0.0322,5.62,0.027,0.864
